Tempo,ipca_media_semestral,ipca_acumulado
2004-6-1,0.25,1.42
2004-12-1,2.08,14.64
2005-6-1,-0.29,-1.75
2005-12-1,1.57,7.76
2006-6-1,0.55,3.28
2006-12-1,-0.06,2.94
2007-6-1,-0.08,-0.51
2007-12-1,-0.03,-0.69
2008-6-1,-0.20,-1.21
2008-12-1,0.16,-0.27
2009-6-1,-0.13,-0.8
2009-12-1,0.48,2.06
2010-6-1,-0.16,-1
2010-12-1,0.45,1.67
2011-6-1,1.04,6.15
2011-12-1,0.12,6.92
2012-6-1,-0.31,-1.83
2012-12-1,0.24,-0.41
2013-6-1,0.43,2.56
2013-12-1,0.65,6.53
2014-6-1,0.11,0.66
2014-12-1,0.37,2.89
2015-6-1,1.53,9.24
2015-12-1,1.61,20.1
2016-6-1,0.14,0.78
2016-12-1,0.29,2.54
2017-6-1,-0.94,-5.56
2017-12-1,2.65,10.32
2018-6-1,1.95,12.17
2018-12-1,-0.70,7.24
2019-6-1,0.41,2.31
2019-12-1,0.30,4.03
2020-6-1,-2.00,-11.88
2020-12-1,2.10,-0.19
2021-6-1,3.94,25.56
2021-12-1,2.75,47.49
